"Subject","Updating_P1P2.correct","boxes_correct_newrange","Grid_Distance_newrange","Inh.grid.correct1","Inh.cylinders.correct1","Inh.boxes.correct1","Shifting.tray.correct.S2","proportion_switches","SD","SR","CD","ID","ED","site","Group","Sex","Age"
"Ajabu",0.541666666666667,0.25,0.696556083429874,0.666666666666667,0.5,0.5,0.458333333333333,0.181818181818182,0.538461538461538,0.125,0.727272727272727,1,0.45,"kenya","old chimps","f",10
"Akela",0.458333333333333,0.25,0.555621023411771,0.166666666666667,0.416666666666667,0.166666666666667,0.416666666666667,0.636363636363636,0.611111111111111,0,0.823529411764706,0.857142857142857,0.5,"kenya","young chimps","f",30
"Alikaka",0.5,0.3125,0.608223435266898,0.333333333333333,0.416666666666667,0.0833333333333333,0.666666666666667,0.454545454545455,0.666666666666667,0.166666666666667,0.615384615384615,0.857142857142857,0.45,"kenya","old chimps","m",5
"Alley",0.541666666666667,0.25,0.67081682552357,0.5,0.416666666666667,0.25,0.583333333333333,0.727272727272727,0.533333333333333,0.291666666666667,0.857142857142857,0.857142857142857,0.55,"kenya","old chimps","f",31
"Amahirwe",0.458333333333333,0.375,0.669478093685727,0.5,0.333333333333333,0,0.625,0.727272727272727,0.636363636363636,0,0.666666666666667,0.857142857142857,0.475,"kenya","old chimps","m",5
"Amizero",0.583333333333333,0.3125,0.615170202395325,0.5,0.5,0,0.625,0.363636363636364,0.685714285714286,0.125,0.769230769230769,0.818181818181818,0.475,"kenya","young chimps","f",NA
"Angela",0.583333333333333,0.0714285714285714,0.609714078929961,0.166666666666667,0.416666666666667,0.0833333333333333,0.5,0.272727272727273,0.722222222222222,0.333333333333333,0.727272727272727,0.875,0.525,"kenya","old chimps","f",7
"Asega",0.833333333333333,0.3125,0.595566357241006,0.666666666666667,0.583333333333333,0,0.75,0.363636363636364,0.611111111111111,0.733333333333333,0.8,0.857142857142857,0.525,"uganda","Uganda","m",21
"Bahati",0.5,0.3125,0.608071523441678,0.333333333333333,0.5,0.25,0.666666666666667,0.363636363636364,0.529411764705882,0.375,0.785714285714286,0.777777777777778,0.5,"kenya","young chimps","f",25
"Baluku",0.75,0.5625,0.795952890325686,0.666666666666667,0.583333333333333,0.166666666666667,0.666666666666667,0.545454545454545,0.75,0.416666666666667,0.75,0.857142857142857,0.5,"uganda","Uganda","m",21
"Becky",0.375,0.375,0.663870058418256,0.833333333333333,0.666666666666667,0.333333333333333,0.458333333333333,0.363636363636364,0.6,0.125,0.5,1,0.375,"uganda","Uganda","f",28
"Bili",0.458333333333333,0.4375,0.599836740209749,0.666666666666667,0.5,0,0.458333333333333,0.636363636363636,0.733333333333333,0,0.583333333333333,1,0.45,"uganda","Uganda","f",21
"Bwambale",0.583333333333333,0.625,0.740154355372221,0.333333333333333,0.5,0,0.5,0.545454545454545,0.666666666666667,0.208333333333333,0.866666666666667,0.818181818181818,0.6,"uganda","Uganda","m",19
"Cheetah",0.666666666666667,0.375,0.678899696953392,0.333333333333333,0.5,0.0833333333333333,0.5,0.636363636363636,0.666666666666667,0.0416666666666667,0.55,0.75,0.475,"kenya","old chimps","f",5
"Chipie",0.166666666666667,0.0625,0.613679558732262,0.5,0.75,0.333333333333333,0.583333333333333,0.727272727272727,0.558823529411765,0.0416666666666667,0.705882352941177,0.666666666666667,0.5,"kenya","young chimps","f",NA
"Cocoa",0.375,0.375,0.717041845430375,0.666666666666667,0.333333333333333,0.0833333333333333,0.666666666666667,0.363636363636364,0.625,0.0416666666666667,0.7,0.857142857142857,0.45,"uganda","Uganda","f",12
"Dufatanya",0.625,0.25,0.661395222279017,0.333333333333333,0.25,0.25,0.541666666666667,0.363636363636364,0.666666666666667,0.208333333333333,0.476190476190476,0.857142857142857,0.425,"kenya","young chimps","f",27
"Edvard",0.5,0.3125,0.6625313265573,NA,NA,0.166666666666667,0.625,0.545454545454545,0.459459459459459,0.0416666666666667,0.636363636363636,1,0.55,"kenya","old chimps","m",5
"Indi",0.625,0.5,0.651516804019691,0.5,0.416666666666667,0.0833333333333333,0.583333333333333,0.727272727272727,0.490196078431373,0,0.888888888888889,1,0.475,"uganda","Uganda","m",19
"Jane",0.333333333333333,0.25,0.533125958325556,0.333333333333333,NA,0.25,0.833333333333333,0.181818181818182,0.777777777777778,0.9,0.789473684210526,0.846153846153846,0.6,"kenya","young chimps","f",14
"Joy",0.416666666666667,0.4375,0.589228316929461,0.333333333333333,0.666666666666667,0.0833333333333333,0.708333333333333,0.545454545454545,0.533333333333333,0.25,0.769230769230769,0.722222222222222,0.55,"kenya","young chimps","f",14
"Judy",0.541666666666667,0.3125,0.692438691825466,0.666666666666667,0.428571428571429,0.416666666666667,0.333333333333333,0.0909090909090909,0.692307692307692,0.5,0.764705882352941,0.785714285714286,0.5,"kenya","old chimps","f",35
"Julia",0.541666666666667,0.25,0.711585721965011,0.5,0.333333333333333,0.0833333333333333,0.708333333333333,NA,0.590909090909091,0.291666666666667,0.692307692307692,0.823529411764706,0.425,"kenya","old chimps","f",5
"Kalema",0.375,0.375,0.669478093685727,0.5,0.583333333333333,0.0833333333333333,0.458333333333333,0.181818181818182,0.583333333333333,0.333333333333333,0.833333333333333,0.818181818181818,0.575,"uganda","Uganda","m",23
"Kidogo",0.541666666666667,0.3125,0.703502850558301,0.5,0.5,0.166666666666667,0.458333333333333,0.272727272727273,0.565217391304348,0.125,0.571428571428571,0.75,0.5,"uganda","Uganda","f",35
"Kisa",0.5,0.375,0.650482975348289,0.333333333333333,0.5,0.416666666666667,0.791666666666667,0.636363636363636,0.560606060606061,0.458333333333333,0.625,0.785714285714286,0.525,"kenya","young chimps","m",25
"Kisembo",0.291666666666667,0.3125,0.819065400267532,0.5,0.416666666666667,0.166666666666667,0.5,0.636363636363636,0.488888888888889,0,0.36,1,0.45,"uganda","Uganda","m",20
"Manno",0.458333333333333,0.375,0.646213671918661,0.5,0.416666666666667,0,0.75,0.454545454545455,0.727272727272727,0.291666666666667,0.818181818181818,0.857142857142857,0.5,"kenya","young chimps","m",5
"Mary",0.416666666666667,0.4375,0.660152594934361,0,0.25,0.25,0.5,0.545454545454545,0.684210526315789,0.125,0.764705882352941,0.857142857142857,0.525,"kenya","old chimps","f",5
"Mawa",0.416666666666667,0.25,0.624134990671329,0.5,0.416666666666667,0,0.458333333333333,0.545454545454545,0.846153846153846,0.333333333333333,0.666666666666667,1,0.525,"uganda","Uganda","m",23
"Medina",0.333333333333333,0.25,0.636792068674108,0.666666666666667,0.5,0.166666666666667,0.458333333333333,0.454545454545455,0.875,0.125,0.777777777777778,1,0.5,"uganda","Uganda","f",12
"Mwanzo",0.458333333333333,0.3125,0.738815623511266,0.333333333333333,0.416666666666667,0.416666666666667,0.5,NA,0.571428571428571,0.0416666666666667,0.545454545454545,0.75,0.525,"kenya","old chimps","f",5
"Nakuu",0.708333333333333,0.5,0.636792068674108,0.666666666666667,0.583333333333333,0,0.583333333333333,0.545454545454545,0.36,0.125,0.833333333333333,0.857142857142857,0.475,"uganda","Uganda","f",18
"Namukisa",0.416666666666667,0.5625,0.717193757232482,0.833333333333333,0.666666666666667,0.25,0.541666666666667,0.545454545454545,0.566666666666667,0.125,0.8,0.857142857142857,0.55,"uganda","Uganda","f",21
"Nani",0.583333333333333,0.4375,0.69789481529083,0.833333333333333,0.5,0,0.458333333333333,0.363636363636364,0.520833333333333,0.0416666666666667,0.6,1,0.625,"uganda","Uganda","f",18
"Niyonkuru",0.625,0.4375,0.674934217151091,0.333333333333333,0.416666666666667,0.333333333333333,0.5,0.636363636363636,0.650793650793651,0.166666666666667,0.636363636363636,1,0.45,"kenya","young chimps","m",28
"Nkuumwa",0.583333333333333,0.5,0.805526405395458,0.833333333333333,0.583333333333333,0.333333333333333,0.5,0.909090909090909,0.444444444444444,0.0833333333333333,0.857142857142857,0.875,0.5,"uganda","Uganda","f",23
"Okech",0.708333333333333,0.5,0.640757548453297,0.666666666666667,0.5,0,0.375,0.727272727272727,0.714285714285714,0.0416666666666667,0.526315789473684,1,0.475,"uganda","Uganda","m",20
"Oscar",0.291666666666667,0.3125,0.586449657162895,0,0.583333333333333,0.25,0.5,0.181818181818182,0.5625,0.375,0.681818181818182,0.857142857142857,0.425,"kenya","old chimps","m",21
"Pasa",0.375,0.375,0.734698231883745,0.333333333333333,0.375,0,0.625,0.909090909090909,0.818181818181818,0.478260869565217,0.857142857142857,0.857142857142857,0.45,"uganda","Uganda","f",19
